#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-2328CEF5A7AD09C7-8B8D67FE2AFEB18
#datatype	hitsFull Results
#status	0
#Start time	2017-02-26T14:10:53	Run time	0:00:06:21
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily	Definition
Q#1 - >13951[]	multi-dom	224322	92	473	4.38113e-35	137.76	COG1404	AprE	C	 - 	Serine protease, subtilisin family  [Posttranslational modification, protein turnover, chaperones]; Subtilisin-like serine proteases [Posttranslational modification, protein turnover, chaperones].
Q#2 - >13952[]	multi-dom	223677	9	330	2.07998e-63	202.963	COG0604	Qor	 - 	 - 	NADPH:quinone reductase or related Zn-dependent oxidoreductase [Energy production and conversion, General function prediction only]; NADPH:quinone reductase and related Zn-dependent oxidoreductases [Energy production and conversion / General function prediction only].
Q#2 - >13952[]	multi-dom	223992	32	331	1.767e-29	113.837	COG1064	AdhP	 - 	 - 	D-arabinose 1-dehydrogenase, Zn-dependent alcohol dehydrogenase family [Carbohydrate transport and metabolism]; Zn-dependent alcohol dehydrogenases [General function prediction only].
Q#2 - >13952[]	multi-dom	223991	30	321	1.49382e-12	66.2511	COG1063	Tdh	 - 	 - 	Threonine dehydrogenase or related Zn-dependent dehydrogenase [Amino acid transport and metabolism, General function prediction only]; Threonine dehydrogenase and related Zn-dependent dehydrogenases [Amino acid transport and metabolism / General function prediction only].
Q#2 - >13952[]	multi-dom	225041	32	270	4.79279e-10	58.4609	COG2130	CurA	C	 - 	NADPH-dependent curcumin reductase CurA [Secondary metabolites biosynthesis, transport and catabolism, General function prediction only]; Putative NADP-dependent oxidoreductases [General function prediction only].
Q#2 - >13952[]	multi-dom	223990	33	271	0.00632443	36.4305	COG1062	FrmA	 - 	 - 	Zn-dependent alcohol dehydrogenase [General function prediction only]; Zn-dependent alcohol dehydrogenases, class III [Energy production and conversion].
Q#2 - >13952[]	multi-dom	223774	155	183	0.00691144	36.421	COG0702	YbjT	C	 - 	Uncharacterized conserved protein YbjT, contains NAD(P)-binding and DUF2867 domains [General function prediction only]; Predicted nucleoside-diphosphate-sugar epimerases [Cell envelope biogenesis, outer membrane / Carbohydrate transport and metabolism].
Q#3 - >13953[]	non-specific	226476	14	187	3.4674e-24	95.9582	COG3967	DltE	C	cl21454	Short-chain dehydrogenase involved in D-alanine esterification of teichoic acids [Cell wall/membrane/envelope biogenesis, Lipid transport and metabolism]; Short-chain dehydrogenase involved in D-alanine esterification of lipoteichoic acid and wall teichoic acid (D-alanine transfer protein) [Cell envelope biogenesis, outer membrane].
Q#3 - >13953[]	superfamily	304358	14	187	3.4674e-24	95.9582	cl21454	NADB_Rossmann superfamily	C	 - 	Rossmann-fold NAD(P)(+)-binding proteins; A large family of proteins that share a Rossmann-fold NAD(P)H/NAD(P)(+) binding (NADB) domain. The NADB domain is found in numerous dehydrogenases of metabolic pathways such as glycolysis, and many other redox enzymes. NAD binding involves numerous hydrogen-bonds and van der Waals contacts, in particular H-bonding of residues in a turn between the first strand and the subsequent helix of the Rossmann-fold topology. Characteristically, this turn exhibits a consensus binding pattern similar to GXGXXG, in which the  first 2 glycines participate in NAD(P)-binding, and the third facilitates close packing of the helix to the beta-strand. Typically, proteins in this family contain a second domain in addition to the NADB domain, which is responsible for specifically binding a substrate and catalyzing a particular enzymatic reaction.
Q#3 - >13953[]	multi-dom	223377	10	267	4.61355e-104	301.859	COG0300	DltE	 - 	 - 	Short-chain dehydrogenase [General function prediction only]; Short-chain dehydrogenases of various substrate specificities [General function prediction only].
